PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,MaxHeight,MeasuredDuration,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,PlayID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,PitchLocationConfidence,CatcherThrowLocationConfidence,CatcherThrowReleaseConfidence,PitchMovementConfidence
1,2022-04-23,14:02:20.23,1,1,"Dallas, Micah",1000058245,Right,TEX_AGG,"Webb, Braydon",1000056717,Right,ARK_RAZ,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,91.57808,-2.945245,-2.575259,2017.66788,236.47134,2:00,6.34586,0.66446,4.74951,-23.83379,10.9293,14.85914,1.56095,-0.54147,84.17341,-7.277972,0.035784,0.424356,65.3068,-19.756668,-47.715826,,,,,6.45202,,-22.985027,0.048607,-8.05512,6.47079,-0.41951,50,6.02853,5.25003,-132.6295,-7.79575,-14.40883,27.24037,-20.59922,TEX_AGG,ARK_RAZ,Olsen,D1,SEC,20220423-Olsen-1,e784a410-c337-11ec-8d7f-1709ea31c659,88.82267,7.40467,,,,1.57781,,2.98416,1.57781,0.73053,9c698d1b-2b7c-4006-a691-88e8aef481af,57864b27-1c2c-458d-983c-5d4692adfa65,2022-04-23,19:02:20.23,2022-04-23T14:02:20.2354496-05:00,2022-04-23T19:02:20.2354496Z,GroundBall,v3,,,23 April 2022 15:00-arkansas@texasam,"Claunch, Troy",1000067847,Right,TEX_AGG,55.75378,-133.80603,13.62018,6.34602,-6.90605,-10.29961,-0.6597,5.87236,-7.20442,180,2.98293,60.80704,,,,,,,,1.57846,-32.46088,,,,,,,,0.73188,-66.86316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Low,Low,,High,,,High
2,2022-04-23,14:02:56.33,2,1,"Dallas, Micah",1000058245,Right,TEX_AGG,"Slavens, Brady",1000054514,Left,ARK_RAZ,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,92.79359,-2.927757,-2.458014,2048.062857,218.508046,1:15,6.35969,0.75143,4.77138,-19.12603,14.57103,10.78709,1.98512,-0.68148,85.48816,-6.432582,-0.562886,0.417799,69.15387,53.812418,-131.058635,3849.35832,,,,,,,,-5.9639,8.22327,-0.51524,50,6.04972,5.24447,-134.44859,-7.63679,-11.01001,26.81057,-16.99295,TEX_AGG,ARK_RAZ,Olsen,D1,SEC,20220423-Olsen-1,fd101530-c337-11ec-8d7f-1709ea31c659,90.21671,7.30543,,,,55.11179,,1.44357,2.14011,0.65781,9c698d1b-2b7c-4006-a691-88e8aef481af,d289cc97-4cdf-4593-b473-ecd5e4486e1d,2022-04-23,19:02:56.33,2022-04-23T14:02:56.3312448-05:00,2022-04-23T19:02:56.3312448Z,,v3,,,23 April 2022 15:00-arkansas@texasam,"Claunch, Troy",1000067847,Right,TEX_AGG,55.73147,-135.58669,13.40529,6.35859,-6.91544,-8.49647,-0.74779,5.71184,-5.50501,20.771669,1.44358,-39.33448,-2.77425,1.37248,-0.14645,-0.37559,0.41096,-0.13615,-0.00424,2.14011,81.85894,-29.22462,3.69914,-0.51842,-0.34789,0.33683,-0.01537,-0.05556,0.65781,-45.15555,3.99274,0.3545,-0.05866,-0.25267,0.33714,-0.16824,0.02649,,,,,,,,,,,,,,,,,,,,,,,High,High,Low,,High,,,High
3,2022-04-23,14:03:16.64,2,2,"Dallas, Micah",1000058245,Right,TEX_AGG,"Slavens, Brady",1000054514,Left,ARK_RAZ,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.31744,1.34481,-0.27375,2088.507636,68.572372,8:15,6.25388,0.88098,4.87542,-42.54451,0.39327,-2.50693,3.98131,0.41302,75.17078,-6.366071,-0.715505,0.471619,,,,,,,,,,,,1.15315,0.24496,-0.85183,50,6.35021,0.68158,-119.36541,1.1742,1.65999,23.45511,-31.82142,TEX_AGG,ARK_RAZ,Olsen,D1,SEC,20220423-Olsen-1,092f4340-c338-11ec-8d7f-1709ea31c659,79.9214,7.14665,,,,,,,,,9c698d1b-2b7c-4006-a691-88e8aef481af,9612c47e-4614-45b4-98e6-44c1edb28f16,2022-04-23,19:03:16.64,2022-04-23T14:03:16.6481728-05:00,2022-04-23T19:03:16.6481728Z,,v3,,,23 April 2022 15:00-arkansas@texasam,"Claunch, Troy",1000067847,Right,TEX_AGG,55.62529,-120.4657,11.72755,6.26011,2.66695,-15.91071,-0.88198,0.60371,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
4,2022-04-23,14:03:32.58,2,3,"Dallas, Micah",1000058245,Right,TEX_AGG,"Slavens, Brady",1000054514,Left,ARK_RAZ,Undefined,1,Top,1,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.38579,-2.321741,-2.64626,2238.090708,99.562313,9:15,6.16197,0.82751,5.20153,-39.48876,1.36165,-1.45413,0.68393,-1.78446,77.8379,-9.422031,-2.904118,0.460012,,,,,,,,,,,,0.09071,1.58177,-0.58104,50,5.91644,5.65328,-121.00123,-6.36882,0.13623,20.75943,-29.79873,TEX_AGG,ARK_RAZ,Olsen,D1,SEC,20220423-Olsen-1,12b6af70-c338-11ec-8d7f-1709ea31c659,81.93787,5.54789,,,,,,,,,9c698d1b-2b7c-4006-a691-88e8aef481af,bbdbaf0b-69ff-4bbf-bd03-83e0ef79eb2f,2022-04-23,19:03:32.58,2022-04-23T14:03:32.5893952-05:00,2022-04-23T19:03:32.5893952Z,,v3,,,23 April 2022 15:00-arkansas@texasam,"Claunch, Troy",1000067847,Right,TEX_AGG,55.30203,-121.90747,10.37971,6.16607,-5.06798,-14.89937,-0.82771,5.64733,0.06812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
5,2022-04-23,14:03:48.06,2,4,"Dallas, Micah",1000058245,Right,TEX_AGG,"Slavens, Brady",1000054514,Left,ARK_RAZ,Undefined,1,Top,1,2,1,Slider,Slider,InPlay,Undefined,FlyBall,HomeRun,0,1,,82.8756,-0.492464,-0.374958,2159.83367,41.532066,7:30,6.14205,0.72838,4.74985,-44.10459,-1.35303,-2.46835,1.99957,0.16704,75.66653,-8.438288,-0.809662,0.470595,101.25678,29.634518,18.122348,3485.268273,104.65479,60.13446,33.87111,422.14881,,17.420435,5.484721,1.10898,-0.16091,-0.68835,50,6.05338,0.89496,-120.14213,-2.74836,1.60769,25.04727,-32.40732,TEX_AGG,ARK_RAZ,Olsen,D1,SEC,20220423-Olsen-1,1bddfa40-c338-11ec-8d7f-1709ea31c659,80.09528,7.20907,,,,95.83012,,2.66799,2.28507,-0.16589,9c698d1b-2b7c-4006-a691-88e8aef481af,33c30168-b073-4066-8c07-904222748d5c,2022-04-23,19:03:48.06,2022-04-23T14:03:48.0610624-05:00,2022-04-23T19:03:48.0610624Z,FlyBall,v3,,,23 April 2022 15:00-arkansas@texasam,"Claunch, Troy",1000067847,Right,TEX_AGG,55.75235,-121.33546,12.52364,6.14754,-1.20438,-16.20366,-0.72916,0.81837,0.80385,184.86407,2.67227,122.60385,-23.83493,5.74659,-0.91909,0.05777,0.00823,-0.00168,8E-05,2.28147,73.48419,-14.84183,-0.08127,0.16363,-0.05078,0.01359,-0.00204,0.00011,-0.16413,40.11752,-6.41473,0.93335,-0.00382,-0.0405,0.0099,-0.00101,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,Medium,,High,,,High
6,2022-04-23,14:04:37.50,3,1,"Dallas, Micah",1000058245,Right,TEX_AGG,"Wallace, Cayden",691024,Right,ARK_RAZ,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.38568,-1.003182,-0.767747,1963.038934,143.622696,10:45,6.20704,0.74837,4.9815,-39.7973,2.50732,-0.6998,1.943,-0.03506,75.36248,-8.244704,-0.891473,0.468129,,,,,,,,,,,,0.09146,2.05516,-0.6737,50,6.07822,1.64905,-120.71219,-3.61959,0.13255,27.34335,-29.19485,TEX_AGG,ARK_RAZ,Olsen,D1,SEC,20220423-Olsen-1,39b52340-c338-11ec-8d7f-1709ea31c659,80.51723,8.0232,,,,,,,,,9c698d1b-2b7c-4006-a691-88e8aef481af,a1d3f608-27cf-47ab-b2de-4e5df19e5a58,2022-04-23,19:04:37.50,2022-04-23T14:04:37.5056704-05:00,2022-04-23T19:04:37.5056704Z,,v3,,,23 April 2022 15:00-arkansas@texasam,"Claunch, Troy",1000067847,Right,TEX_AGG,55.51633,-121.95533,13.67167,6.21261,-2.29227,-14.59743,-0.74854,1.64302,0.06628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
7,2022-04-23,14:04:50.34,3,2,"Dallas, Micah",1000058245,Right,TEX_AGG,"Wallace, Cayden",691024,Right,ARK_RAZ,Undefined,1,Top,1,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.807,-1.342685,-1.85157,1960.818743,236.182548,1:45,6.39423,0.70709,4.93303,-23.22623,10.54914,14.07981,3.18863,0.12958,84.5207,-5.611313,0.631138,0.418284,,,,,,,,,,,,-7.46697,5.92784,-0.53907,50,6.24463,3.64916,-134.49674,-4.07931,-13.63316,30.05478,-21.35106,TEX_AGG,ARK_RAZ,Olsen,D1,SEC,20220423-Olsen-1,40fe1120-c338-11ec-8d7f-1709ea31c659,90.11207,8.2863,,,,,,,,,9c698d1b-2b7c-4006-a691-88e8aef481af,c04211f1-cf79-4ecd-b39e-106e5509f359,2022-04-23,19:04:50.34,2022-04-23T14:04:50.3441216-05:00,2022-04-23T19:04:50.3441216Z,,v3,,,23 April 2022 15:00-arkansas@texasam,"Claunch, Troy",1000067847,Right,TEX_AGG,55.56732,-135.73511,15.02739,6.39458,-3.19956,-10.67553,-0.70101,4.21091,-6.81658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
8,2022-04-23,14:05:03.18,3,3,"Dallas, Micah",1000058245,Right,TEX_AGG,"Wallace, Cayden",691024,Right,ARK_RAZ,Undefined,1,Top,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.80283,-2.99143,-0.804327,1470.520447,238.968533,2:00,6.12952,0.78997,4.90983,-29.62868,8.65512,12.49536,0.82871,1.07057,80.31966,-8.344911,1.401749,0.445327,,,,,,,,,,,,-6.41973,5.38516,-0.72245,50,5.81218,1.20469,-125.88344,-7.72176,-10.3783,23.7682,-23.46827,TEX_AGG,ARK_RAZ,Olsen,D1,SEC,20220423-Olsen-1,48aa54b0-c338-11ec-8d7f-1709ea31c659,84.63993,6.48317,,,,,,,,,9c698d1b-2b7c-4006-a691-88e8aef481af,89855563-4ba7-4dee-b30e-e7bca0c0ce19,2022-04-23,19:05:03.18,2022-04-23T14:05:03.1899968-05:00,2022-04-23T19:05:03.1899968Z,,v3,,,23 April 2022 15:00-arkansas@texasam,"Claunch, Troy",1000067847,Right,TEX_AGG,55.59311,-126.93509,11.8841,6.13087,-6.68338,-11.73414,-0.78591,1.66389,-5.18915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
9,2022-04-23,14:05:16.29,3,4,"Dallas, Micah",1000058245,Right,TEX_AGG,"Wallace, Cayden",691024,Right,ARK_RAZ,Undefined,1,Top,1,2,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.36464,0.032838,-1.277777,2155.11913,95.027173,9:15,6.22097,0.62621,4.98676,-40.17254,1.71626,-3.54819,2.90427,-0.87631,75.95661,-7.264228,-1.90445,0.465823,,,,,,,,,,,,1.37016,1.26724,-0.50001,50,6.19157,2.8525,-120.8407,-1.45359,2.01106,25.16901,-30.31405,TEX_AGG,ARK_RAZ,Olsen,D1,SEC,20220423-Olsen-1,507fa410-c338-11ec-8d7f-1709ea31c659,80.91587,7.40803,,,,,,,,,9c698d1b-2b7c-4006-a691-88e8aef481af,45e2c16d-d2ae-4d02-a06d-ab3b0cc0ec12,2022-04-23,19:05:16.29,2022-04-23T14:05:16.2950464-05:00,2022-04-23T19:05:16.2950464Z,,v3,,,23 April 2022 15:00-arkansas@texasam,"Claunch, Troy",1000067847,Right,TEX_AGG,55.51337,-121.98364,12.5845,6.22632,-0.07702,-15.15702,-0.62746,2.76117,1.00553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
10,2022-04-23,14:05:33.29,3,5,"Dallas, Micah",1000058245,Right,TEX_AGG,"Wallace, Cayden",691024,Right,ARK_RAZ,Undefined,1,Top,1,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.32961,-2.985213,-3.255485,2105.384037,216.234284,1:15,6.34847,0.6074,4.84843,-16.48981,16.57151,11.45485,2.14097,-1.52345,86.39169,-6.022687,-1.242996,0.413839,,,,,,,,,,,,-6.39323,9.15386,-0.29564,50,6.03912,7.12203,-135.215,-7.68804,-12.02083,25.172,-14.96255,TEX_AGG,ARK_RAZ,Olsen,D1,SEC,20220423-Olsen-1,5aa09120-c338-11ec-8d7f-1709ea31c659,91.07996,6.93791,,,,,,,,,9c698d1b-2b7c-4006-a691-88e8aef481af,9d4559ea-d793-482b-b16d-697cc147b90d,2022-04-23,19:05:33.29,2022-04-23T14:05:33.2947776-05:00,2022-04-23T19:05:33.2947776Z,,v3,,,23 April 2022 15:00-arkansas@texasam,"Claunch, Troy",1000067847,Right,TEX_AGG,55.65373,-136.26345,12.586,6.34636,-7.06482,-7.48128,-0.60271,7.62272,-6.01042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
11,2022-04-23,14:05:51.08,3,6,"Dallas, Micah",1000058245,Right,TEX_AGG,"Wallace, Cayden",691024,Right,ARK_RAZ,Undefined,1,Top,1,3,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,83.65289,-0.470096,-1.267964,2072.676452,90.407625,9:00,6.14541,0.64751,4.95792,-40.20884,1.38083,-0.20028,2.35039,-0.56739,76.38462,-7.757912,-1.303335,0.464156,,,,,,,,,,,,-0.27516,1.24638,-0.52446,50,6.0669,2.69307,-121.26938,-2.53416,-0.40737,25.01426,-30.3289,TEX_AGG,ARK_RAZ,Olsen,D1,SEC,20220423-Olsen-1,655559c0-c338-11ec-8d7f-1709ea31c659,81.20639,7.26828,,,,,,,,,9c698d1b-2b7c-4006-a691-88e8aef481af,0a25615d-e706-4bc3-bdfa-dcb99c8a6696,2022-04-23,19:05:51.08,2022-04-23T14:05:51.0890000-05:00,2022-04-23T19:05:51.0890000Z,,v3,,,23 April 2022 15:00-arkansas@texasam,"Claunch, Troy",1000067847,Right,TEX_AGG,55.54237,-122.40727,12.50713,6.1508,-1.15451,-15.16445,-0.64739,2.7116,-0.20368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.54499,2.248088,0.913664,1.334424,-0.78034,2.04469,0.6174,-6.7565,4.29187,3.44294,71.71352,6.69361,53.07988,-6.60514,65.06075,-4.74383,4.39682,20.66707,-14.17255,3.47077,38.94249,-1.31805,High,,,High,High,High,Medium,High
12,2022-04-23,14:06:28.60,4,1,"Dallas, Micah",1000058245,Right,TEX_AGG,"Turner, Michael",1000027137,Left,ARK_RAZ,Undefined,1,Top,2,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.08693,-2.893157,-2.045722,2053.604395,230.551669,1:45,6.31158,0.8165,4.74407,-19.26544,14.453,16.24969,1.9577,0.22933,85.21592,-6.433429,0.809474,0.417932,,,,,,,,,,,,-8.53138,8.20449,-0.62579,50,6.00362,3.9991,-134.80345,-7.5753,-15.7285,28.7804,-17.04819,TEX_AGG,ARK_RAZ,Olsen,D1,SEC,20220423-Olsen-1,7b991e60-c338-11ec-8d7f-1709ea31c659,90.18806,7.87101,,,,,,,,,9c698d1b-2b7c-4006-a691-88e8aef481af,7ec8d799-fe9b-41fe-987f-9e89329db8ef,2022-04-23,19:06:28.60,2022-04-23T14:06:28.6007104-05:00,2022-04-23T19:06:28.6007104Z,,v3,,,23 April 2022 15:00-arkansas@texasam,"Claunch, Troy",1000067847,Right,TEX_AGG,55.75746,-136.0271,14.3902,6.31029,-6.85046,-8.52409,-0.81003,4.66783,-7.86425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
13,2022-04-23,14:06:45.32,4,2,"Dallas, Micah",1000058245,Right,TEX_AGG,"Turner, Michael",1000027137,Left,ARK_RAZ,Undefined,1,Top,2,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.78314,-3.087536,-0.254057,1947.890634,237.776352,2:00,6.22181,0.78005,4.63916,-22.78017,11.25095,16.15473,1.38622,1.88482,85.20851,-7.21942,2.581729,0.419865,,,,,,,,,,,,-7.96292,6.66418,-0.76962,50,5.88482,-0.22087,-134.40959,-8.19428,-14.60171,28.48457,-19.95391,TEX_AGG,ARK_RAZ,Olsen,D1,SEC,20220423-Olsen-1,858abe10-c338-11ec-8d7f-1709ea31c659,89.77277,7.57462,,,,,,,,,9c698d1b-2b7c-4006-a691-88e8aef481af,24e6b664-7631-4aad-8033-8ba9a86ea057,2022-04-23,19:06:45.32,2022-04-23T14:06:45.3260608-05:00,2022-04-23T19:06:45.3260608Z,,v3,,,23 April 2022 15:00-arkansas@texasam,"Claunch, Troy",1000067847,Right,TEX_AGG,55.86231,-135.64626,14.24229,6.22178,-7.32797,-9.97696,-0.77379,0.41307,-7.30086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
14,2022-04-23,14:07:03.75,4,3,"Dallas, Micah",1000058245,Right,TEX_AGG,"Turner, Michael",1000027137,Left,ARK_RAZ,Undefined,1,Top,2,1,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,93.19584,-2.740066,-1.473196,2047.470614,221.061895,1:15,6.32329,0.83454,4.87015,-19.51162,13.96517,11.23016,2.1014,0.3759,85.29191,-6.331534,0.505177,0.416431,102.49326,2.272694,10.736063,2020.680713,,,,64.45764,,11.449896,0.441453,-5.98599,7.97185,-0.6997,50,6.03733,2.9251,-135.03857,-7.22551,-11.06125,29.2077,-17.44323,TEX_AGG,ARK_RAZ,Olsen,D1,SEC,20220423-Olsen-1,9081e6e0-c338-11ec-8d7f-1709ea31c659,90.51303,7.90393,,,,2.46358,,1.5641,2.11383,-0.37974,9c698d1b-2b7c-4006-a691-88e8aef481af,741df888-434a-4594-975d-8344de0ac70c,2022-04-23,19:07:03.75,2022-04-23T14:07:03.7524288-05:00,2022-04-23T19:07:03.7524288Z,GroundBall,v3,,,23 April 2022 15:00-arkansas@texasam,"Claunch, Troy",1000067847,Right,TEX_AGG,55.63197,-136.25128,14.60385,6.3223,-6.50126,-8.72161,-0.83069,3.38436,-5.53062,316.471038,1.57058,147.37999,-17.77141,,,,,,,2.12563,5.60396,-23.65958,,,,,,,-0.38532,28.15054,3.89488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,High,,,High
15,2022-04-23,14:07:45.56,5,1,"Dallas, Micah",1000058245,Right,TEX_AGG,"Moore, Robert",691001,Left,ARK_RAZ,Undefined,1,Top,2,0,0,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,83.8865,-1.293202,-0.483286,2010.886795,127.716611,10:15,6.03124,0.92616,4.90412,-37.91014,2.82776,-2.18756,1.64875,0.28678,77.96528,-8.115901,-0.869531,0.459379,,,,,,,,,,,,0.97697,1.99976,-0.87692,50,5.87252,1.1215,-121.86777,-4.19878,1.48599,21.39589,-29.13235,TEX_AGG,ARK_RAZ,Olsen,D1,SEC,20220423-Olsen-1,a97450c0-c338-11ec-8d7f-1709ea31c659,82.05093,5.92123,,,,,,,,,9c698d1b-2b7c-4006-a691-88e8aef481af,a2c244d9-5893-47ae-b1f0-f03a9739c545,2022-04-23,19:07:45.56,2022-04-23T14:07:45.5622464-05:00,2022-04-23T19:07:45.5622464Z,,v3,,,23 April 2022 15:00-arkansas@texasam,"Claunch, Troy",1000067847,Right,TEX_AGG,55.60025,-122.84705,10.69794,6.03418,-2.8654,-14.56618,-0.92669,1.05348,0.74299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
16,2022-04-23,14:08:09.18,5,2,"Dallas, Micah",1000058245,Right,TEX_AGG,"Moore, Robert",691001,Left,ARK_RAZ,Undefined,1,Top,2,0,1,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,92.6942,-2.451832,-2.070002,2133.001114,224.904828,1:30,6.30887,0.62688,4.77944,-19.37277,14.73158,13.5428,2.36733,-0.20766,84.41549,-6.029071,0.310566,0.420316,105.22076,7.632609,41.957097,4001.050345,,,,135.88266,,46.119341,1.00904,-7.32363,8.29666,-0.43255,50,6.04717,4.18973,-134.22489,-6.50324,-13.30904,30.10373,-17.09673,TEX_AGG,ARK_RAZ,Olsen,D1,SEC,20220423-Olsen-1,b7862710-c338-11ec-8d7f-1709ea31c659,89.67635,8.2787,,,,6.79266,,2.84373,2.58319,0.38132,9c698d1b-2b7c-4006-a691-88e8aef481af,8d4e2d80-cb81-415f-907c-df2aaf8db40b,2022-04-23,19:08:09.18,2022-04-23T14:08:09.1844416-05:00,2022-04-23T19:08:09.1844416Z,GroundBall,v3,,,23 April 2022 15:00-arkansas@texasam,"Claunch, Troy",1000067847,Right,TEX_AGG,55.72277,-135.50231,15.05186,6.30773,-5.77777,-8.54836,-0.62232,4.75449,-6.65452,,2.84372,113.74617,-26.6497,4.51579,-1.59078,1.45252,-1.22801,0.56694,-0.10568,2.58318,20.49833,-26.77817,4.96035,-1.91256,1.79852,-1.54472,0.74158,-0.14558,0.38133,102.26176,-4.61136,-1.36826,1.08733,-1.43561,1.34535,-0.67355,0.13711,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,High,,,High
17,2022-04-23,14:08:39.28,5,3,"Dallas, Micah",1000058245,Right,TEX_AGG,"Moore, Robert",691001,Left,ARK_RAZ,Undefined,1,Top,2,0,2,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,82.77572,-1.895284,-0.276952,2060.496135,85.664703,8:45,6.08953,0.85317,4.95993,-41.4538,1.30532,-2.56665,0.84372,0.37762,75.40854,-9.390294,-0.731049,0.470637,94.75242,21.17339,4.469715,2433.836849,109.78541,36.76316,6.85587,357.61686,,3.041526,3.956676,1.19118,1.63882,-0.8241,50,5.87182,0.69042,-119.90107,-5.52266,1.71159,25.98381,-29.81922,TEX_AGG,ARK_RAZ,Olsen,D1,SEC,20220423-Olsen-1,c97dc310-c338-11ec-8d7f-1709ea31c659,80.08817,7.36718,,,,48.93277,,2.51036,1.1072,-0.38272,9c698d1b-2b7c-4006-a691-88e8aef481af,79eddb39-ad21-4f66-a419-03c681746a99,2022-04-23,19:08:39.28,2022-04-23T14:08:39.2899904-05:00,2022-04-23T19:08:39.2899904Z,LineDrive,v3,,,23 April 2022 15:00-arkansas@texasam,"Claunch, Troy",1000067847,Right,TEX_AGG,55.5411,-121.09593,12.99191,6.09426,-4.15143,-14.90961,-0.85404,0.61172,0.85579,170.578193,2.5098,129.21255,-20.52729,5.0826,-1.20752,0.3058,-0.06944,0.01013,-0.00063,1.10826,50.16109,-12.75569,-0.86812,0.69936,-0.30605,0.08414,-0.0123,0.00072,-0.38273,10.10074,-3.44748,1.15088,-0.30202,0.0658,-0.0113,0.00132,-7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,High,,,High
18,2022-04-23,14:11:21.07,1,1,"Smith, Hagen",1000072172,Left,ARK_RAZ,"Kaler, Kole",1000055221,Right,TEX_AGG,Undefined,1,Bottom,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.496,-2.421392,5.277707,2165.618216,127.161221,10:15,5.64329,-1.49234,5.57883,-20.9156,12.52961,-15.03678,1.62778,2.19792,84.16719,-6.320632,2.609992,0.416235,,,,,,,,,,,,9.0843,7.36536,1.04684,50,5.4204,-11.64823,-133.6108,-6.40512,16.37192,29.59959,-18.89999,TEX_AGG,ARK_RAZ,Olsen,D1,SEC,20220423-Olsen-1,29e26da0-c339-11ec-8d7f-1709ea31c659,90.55574,8.32881,,,,,,,,,9c698d1b-2b7c-4006-a691-88e8aef481af,7a630cc2-102e-4c1f-aaed-062a34d831a9,2022-04-23,19:11:21.07,2022-04-23T14:11:21.0780992-05:00,2022-04-23T19:11:21.0780992Z,,v3,,,23 April 2022 15:00-arkansas@texasam,"Turner, Michael",1000027137,Right,ARK_RAZ,54.92169,-134.69672,14.79979,5.64267,-5.71173,-9.45,1.4852,-12.24886,8.18596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
